,Area,Room,Parking,Warehouse,Elevator,Address,Price
696,105,2,1,1,1,Dehkade Olampic,1035000000
697,55,1,1,1,0,Komeil,1090000000
698,103,2,1,1,1,Northern Chitgar,1035000000
699,155,3,1,1,1,Shahrake Gharb,10000000000
700,101,2,1,1,1,Southern Chitgar,1035000000
701,106,2,1,1,0,Islamshahr,1245000000
702,100,2,1,1,1,Persian Gulf Martyrs Lake,1035000000
703,77,2,1,1,1,Shahran,2650000000
704,66,2,1,1,1,Central Janatabad,2700000000
705,105,3,1,1,1,Shahr-e-Ziba,3600000000
707,118,2,1,1,1,Shahran,3900000000
708,151,3,1,1,1,Shahrake Qods,1510000000
710,86,2,1,1,1,Pardis,500000000
711,85,2,1,1,1,Pardis,600000000
712,86,2,1,1,1,Pardis,750000000
713,86,2,1,1,1,Pardis,600000000
714,75,2,1,1,1,Central Janatabad,3300000000
716,46,1,1,1,0,Andisheh,450000000
717,98,2,1,1,1,Pardis,570000000
718,90,2,1,1,1,Zaferanieh,6700000000
719,70,2,1,1,1,Southern Janatabad,2950000000
720,40,1,1,1,1,Andisheh,350000000
721,58,1,1,1,1,North Program Organization,2750000000
722,90,2,1,1,1,Amirabad,4590000000
723,78,2,1,1,1,East Ferdows Boulevard,3300000000
725,82,2,1,1,1,Dorous,4200000000
726,115,3,1,1,1,Gheitarieh,7485000000
727,125,2,1,1,1,Dezashib,11250000000
728,107,2,1,1,1,Pasdaran,9200000000
729,55,1,0,1,0,Karoon,850000000
730,50,1,1,1,1,Salsabil,1500000000
731,75,2,1,1,1,Pardis,60000000
735,147,3,1,1,1,Elahieh,11500000000
736,97,2,1,1,1,Pardis,900000000
737,145,3,1,1,1,Dezashib,12300000000
738,50,1,1,1,0,Narmak,1750000000
739,117,2,1,1,1,Heravi,6100000000
740,72,1,1,1,0,Andisheh,730000000
741,161,3,1,1,1,Dorous,13000000000
744,170,3,1,1,1,Heravi,7950000000
745,58,1,1,1,1,West Ferdows Boulevard,2050000000
746,57,1,1,1,1,Shahran,1950000000
747,115,3,1,1,1,Farmanieh,8100000000
748,50,1,1,1,1,Pirouzi,1200000000
749,84,2,1,1,0,Parand,850000000
750,78,2,0,1,0,Shahrake Qods,580000000
751,64,2,1,1,0,Andisheh,960000000
752,113,2,1,1,1,Punak,6500000000
753,175,3,1,1,1,Heravi,9450000000
754,111,2,1,1,1,Heravi,6050000000
755,128,3,1,1,1,Heravi,6500000000
757,131,2,1,1,1,Saadat Abad,7980000000
758,105,3,1,1,1,Heravi,6000000000
760,61,2,1,1,0,Salsabil,1100000000
761,140,3,1,1,1,Ozgol,6300000000
762,185,3,1,1,1,Zargandeh,9000000000
763,122,2,1,1,1,Saadat Abad,7900000000
764,69,2,1,1,1,Mirdamad,3795000000
765,95,2,1,1,1,Punak,6700000000
766,90,2,1,1,1,Abbasabad,4000000000
767,57,1,1,1,1,Ostad Moein,1600000000
769,81,2,1,1,0,Andisheh,1109700000
770,94,2,1,1,1,Andisheh,1250000000
771,134,2,1,1,1,Kahrizak,1608000000
772,74,2,0,0,1,Parand,315000000
773,44,1,1,1,0,Andisheh,585000000
774,100,2,1,1,1,Qasr-od-Dasht,3250000000
775,175,3,1,1,1,Shahrake Gharb,9300000000
776,54,2,1,1,0,Shahran,1850000000
777,96,2,1,1,1,Amirieh,2210000000
778,90,2,1,1,1,Karoon,2400000000
779,90,2,1,1,1,Shahran,3170000000
780,68,2,0,0,0,Karoon,1100000000
782,90,2,1,1,1,Shahran,3200000000
783,97,2,1,1,1,Punak,4700000000
784,78,2,1,1,0,Punak,2730000000
785,125,3,1,1,1,Shahran,5550000000
786,97,2,1,1,1,Farmanieh,5950000000
787,100,2,1,1,1,Farmanieh,6200000000
788,63,2,1,1,1,Feiz Garden,2100000000
789,57,1,1,1,1,Punak,2000000000
790,80,2,1,1,1,Razi,1390000000
791,88,2,1,1,1,Razi,1574000000
792,94,2,1,1,1,Razi,1712000000
793,109,3,1,1,1,Feiz Garden,4230000000
794,78,2,1,1,1,Heravi,3300000000
796,140,3,1,1,1,Heravi,6800000000
797,100,2,1,1,1,Pardis,500000000
798,95,2,1,1,1,Shahr-e-Ziba,3150000000
799,85,2,1,1,1,Parand,1150000000
800,83,2,1,1,1,East Pars,2575000000
801,100,2,1,1,1,Pasdaran,5500000000
802,60,2,1,1,1,Pasdaran,3450000000
803,82,2,1,1,1,Narmak,3050000000
804,150,3,1,1,1,Beryanak,2800000000
805,49,1,1,1,0,Islamshahr,460000000
808,77,2,0,0,0,Parand,440000000
809,63,1,1,1,1,Shahr-e-Ziba,2080000000
810,125,3,1,1,0,Parand,1300000000
811,45,1,1,1,1,East Ferdows Boulevard,1900000000
812,135,3,1,1,1,Qalandari,7500000000
813,80,2,1,0,1,Qalandari,4700000000
814,155,3,1,1,1,Gheitarieh,9800000000
815,125,3,1,1,1,Punak,6300000000
816,95,2,1,1,1,Qalandari,6250000000
817,85,2,1,1,1,Qalandari,4500000000
818,110,2,1,1,1,Qalandari,8100000000
820,63,1,1,1,1,Shahr-e-Ziba,2350000000
821,60,1,1,1,1,Saadat Abad,3600000000
823,145,3,1,1,1,Gheitarieh,11600000000
824,171,3,1,1,1,Jordan,8900000000
825,55,1,1,1,1,East Ferdows Boulevard,1830000000
826,140,3,1,1,1,Jordan,7700000000
827,147,3,1,1,1,Jordan,8700000000
828,83,2,1,1,1,Shahr-e-Ziba,2400000000
829,105,2,1,1,1,Pardis,514000000
830,55,1,1,1,1,East Ferdows Boulevard,2000000000
832,62,2,1,1,1,Punak,2100000000
833,55,1,1,1,1,Persian Gulf Martyrs Lake,1900000000
834,75,2,1,1,0,West Ferdows Boulevard,1950000000
835,95,2,1,1,1,West Ferdows Boulevard,4200000000
836,89,2,1,1,1,Central Janatabad,3620000000
838,51,1,1,1,0,Southern Janatabad,1720000000
840,145,3,1,1,1,Punak,7600000000
841,115,3,1,1,1,Punak,5000000000
842,130,3,1,1,1,Shahrake Gharb,8450000000
843,62,1,0,1,0,Qasr-od-Dasht,950000000
844,94,2,1,1,1,Shahr-e-Ziba,3160000000
845,87,2,1,1,1,Pardis,726000000
846,51,2,0,1,1,Komeil,1050000000
847,95,2,1,1,1,Shahr-e-Ziba,2870000000
848,80,2,1,1,1,Jeyhoon,2150000000
849,145,3,1,1,1,Punak,4300000000
850,155,3,1,1,1,Shahrake Gharb,9300000000
851,88,2,1,1,1,Ekbatan,3940000000
853,94,2,1,1,1,Shahran,4700000000
854,89,2,1,1,1,Ekhtiarieh,3300000000
855,62,2,1,1,0,Pasdaran,3400000000
856,136,3,1,1,1,Punak,7550000000
857,60,1,1,1,1,Feiz Garden,2450000000
858,120,3,1,1,1,Southern Janatabad,5000000000
859,137,3,1,1,1,Pakdasht,1750000000
860,160,3,1,1,1,Shahrake Gharb,12500000000
861,110,2,1,1,1,Saadat Abad,8800000000
862,71,2,1,1,0,Andisheh,940000000
864,80,2,1,1,0,Andisheh,1110000000
865,84,3,1,1,1,Andisheh,1590000000
866,77,2,1,1,1,Gheitarieh,5544000000
867,74,2,1,1,1,Shahran,4100000000
868,130,3,1,1,1,Shahr-e-Ziba,5400000000
869,70,2,1,1,1,Southern Janatabad,2400000000
870,75,2,0,1,1,Parand,389000000
871,83,2,1,0,1,Pasdaran,5000000000
872,65,1,1,1,1,Central Janatabad,3500000000
873,62,1,0,1,0,Qasr-od-Dasht,1100000000
874,140,3,1,1,1,Southern Chitgar,1484000000
876,102,2,1,1,1,Gheitarieh,8100000000
877,138,3,1,1,1,Kahrizak,1242000000
878,49,1,1,1,0,Andisheh,380000000
880,48,1,1,1,0,Salsabil,995000000
881,68,2,1,1,0,Pirouzi,1550000000
882,128,3,1,1,1,Marzdaran,5200000000
883,60,1,1,1,1,Pirouzi,1380000000
884,85,2,1,1,1,Northern Janatabad,3200000000
885,85,2,1,1,1,Islamshahr,565000000
886,78,2,1,0,0,Islamshahr,550000000
887,38,1,1,1,0,Pirouzi,850000000
888,92,2,1,0,1,Pirouzi,2760000000
889,95,2,1,1,1,Shahran,4650000000
890,105,3,1,1,1,East Ferdows Boulevard,3900000000
891,92,2,0,0,1,Pardis,550000000
892,76,2,1,1,0,West Ferdows Boulevard,2400000000
893,85,2,1,1,1,Yaftabad,1250000000
896,50,1,1,0,1,Ray,750000000
897,78,2,1,1,1,West Ferdows Boulevard,2650000000
898,54,1,1,1,1,East Ferdows Boulevard,2150000000
899,100,2,1,1,1,Shahr-e-Ziba,3800000000
900,100,2,1,1,1,East Ferdows Boulevard,3500000000
901,110,3,1,1,1,Jeyhoon,2330000000
902,57,1,1,1,1,East Ferdows Boulevard,2050000000
903,63,2,1,1,0,Andisheh,870000000
904,100,2,1,1,1,Ostad Moein,3600000000
905,80,1,0,1,0,Shahrake Qods,560000000
906,115,2,1,1,1,East Ferdows Boulevard,4200000000
907,68,1,1,1,0,West Ferdows Boulevard,1950000000
909,48,1,1,1,0,West Ferdows Boulevard,1900000000
910,75,2,1,1,0,West Ferdows Boulevard,2450000000
911,115,2,1,1,1,Shahran,5000000000
912,106,2,1,1,1,East Ferdows Boulevard,3500000000
913,56,1,1,1,1,East Ferdows Boulevard,1980000000
914,58,1,1,1,1,East Ferdows Boulevard,2080000000
915,95,2,1,1,1,Central Janatabad,3700000000
916,50,1,1,1,1,West Ferdows Boulevard,1900000000
917,60,2,1,1,0,Central Janatabad,2100000000
918,60,1,1,1,1,East Ferdows Boulevard,1920000000
919,92,2,1,1,0,Mehran,2500000000
920,57,1,1,1,1,West Ferdows Boulevard,2300000000
921,72,2,1,1,0,West Ferdows Boulevard,2300000000
922,71,2,1,1,0,East Ferdows Boulevard,2280000000
923,123,2,1,1,1,Northren Jamalzadeh,3600000000
924,50,1,1,1,1,West Ferdows Boulevard,1950000000
925,58,1,1,1,1,Shahr-e-Ziba,1850000000
926,54,1,1,1,1,East Ferdows Boulevard,2050000000
927,85,2,1,1,1,Shahr-e-Ziba,2350000000
928,85,2,1,1,1,West Ferdows Boulevard,3450000000
929,125,3,0,1,1,Nasim Shahr,1300000000
930,55,1,1,1,1,East Ferdows Boulevard,1920000000
931,72,2,1,1,1,West Ferdows Boulevard,2500000000
933,115,2,1,1,1,East Ferdows Boulevard,5200000000
934,100,2,1,1,1,West Ferdows Boulevard,3450000000
935,116,2,1,1,1,Persian Gulf Martyrs Lake,4170000000
936,105,2,1,1,1,Persian Gulf Martyrs Lake,3250000000
937,60,1,1,1,0,East Ferdows Boulevard,1800000000
938,53,1,1,1,1,Feiz Garden,2120000000
939,55,1,1,1,1,East Ferdows Boulevard,1780000000
940,76,2,1,1,1,East Ferdows Boulevard,2250000000
941,111,3,1,1,1,Persian Gulf Martyrs Lake,3500000000
942,77,2,1,1,1,Golestan,2150000000
943,58,1,1,1,1,East Ferdows Boulevard,1860000000
944,94,2,1,1,0,Southern Program Organization,3200000000
945,58,1,1,1,1,Shahr-e-Ziba,1880000000
946,108,2,1,1,1,Golestan,3300000000
947,56,1,1,1,1,Feiz Garden,2000000000
948,84,2,1,1,1,North Program Organization,3250000000
949,60,2,1,1,1,Azarbaijan,1950000000
950,53,1,0,1,1,Pardis,470000000
951,73,2,1,1,1,Pirouzi,2555000000
952,73,2,0,0,1,Pirouzi,1970000000
953,150,3,1,1,1,Pirouzi,5100000000
954,114,2,1,1,1,Pirouzi,3762000000
956,53,1,0,1,1,Pardis,540000000
957,125,3,1,1,1,Pirouzi,4000000000
960,105,2,1,1,1,Koohsar,4000000000
961,135,3,1,1,1,Tenant,4050000000
962,137,3,1,1,1,Shams Abad,4660000000
963,90,2,1,1,0,Central Janatabad,3200000000
964,125,2,1,1,1,Southern Janatabad,6625000000
966,52,1,1,1,1,East Ferdows Boulevard,2300000000
967,110,3,1,1,1,Persian Gulf Martyrs Lake,3100000000
969,112,2,1,0,1,Persian Gulf Martyrs Lake,3300000000
970,65,2,1,1,1,Shahran,2150000000
971,48,1,1,1,1,Andisheh,400000000
972,105,2,1,1,1,Persian Gulf Martyrs Lake,2800000000
973,56,1,1,1,1,Shahr-e-Ziba,2240000000
974,108,2,1,1,1,Golestan,1900000000
975,78,2,1,1,1,Southern Janatabad,2920000000
976,85,2,1,1,1,Parand,520000000
977,105,2,1,1,1,Pardis,535000000
978,145,3,1,1,1,Saadat Abad,11000000000
979,145,3,1,1,1,Punak,8990000000
980,140,3,1,1,1,Punak,6200000000
981,66,2,1,1,1,Ostad Moein,1580000000
984,150,2,0,1,1,Chardangeh,1200000000
985,98,2,1,1,1,Central Janatabad,4480000000
986,108,2,1,1,1,Persian Gulf Martyrs Lake,3350000000
987,95,2,1,1,1,Ostad Moein,2600000000
988,64,1,0,0,1,Fallah,900000000
989,75,1,1,0,1,Fallah,1875000000
991,90,2,1,1,1,Persian Gulf Martyrs Lake,2500000000
992,93,2,1,1,1,Fallah,1510000000
993,148,3,1,1,1,Persian Gulf Martyrs Lake,5750000000
994,64,1,0,1,0,Eskandari,1050000000
995,114,2,1,1,1,Persian Gulf Martyrs Lake,3600000000
996,107,2,1,1,1,Persian Gulf Martyrs Lake,3500000000
997,113,2,1,1,1,Persian Gulf Martyrs Lake,3270000000
998,115,2,1,1,1,Gheitarieh,7400000000
999,115,2,1,1,1,Persian Gulf Martyrs Lake,3600000000
1000,120,2,1,1,1,Gholhak,8400000000
1001,76,2,1,1,1,Central Janatabad,2700000000
1002,106,2,1,1,1,North Program Organization,4520000000
1003,105,2,1,1,1,Gheitarieh,6900000000
1004,87,2,0,0,1,Ray,1570000000
1005,68,2,1,1,1,Ostad Moein,1970000000
1006,70,2,1,1,1,Punak,2580000000
1007,165,3,1,1,1,Ostad Moein,5250000000
1011,70,2,1,1,1,Saadat Abad,4800000000
1012,165,3,1,1,1,Marzdaran,10230000000
1013,115,2,1,1,1,Central Janatabad,5080000000
1014,93,2,1,0,1,Shahr-e-Ziba,2900000000
1015,181,3,1,1,1,Marzdaran,13000000000
1017,175,3,1,1,1,Marzdaran,11375000000
1018,146,3,1,1,1,Marzdaran,8500000000
1019,135,3,1,1,1,Marzdaran,6200000000
1020,50,1,1,1,1,Southern Program Organization,1980000000
1021,110,2,1,1,1,Pardis,535000000
1022,108,2,1,1,1,Mahallati,7000000000
1023,121,3,1,1,1,Pardis,610000000
1026,90,2,1,1,1,Shahrakeh Naft,5500000000
1027,117,2,1,1,1,Niavaran,12500000000
1028,142,3,1,1,1,Punak,7550000000
1029,55,1,1,1,0,West Ferdows Boulevard,1950000000
1030,85,2,1,1,1,Shahran,3300000000
1032,100,2,1,1,1,Ajudaniye,6500000000
1033,165,3,1,1,1,Shahrake Gharb,12400000000
1035,83,2,1,1,1,Qazvin Imamzadeh Hassan,1450000000
1036,200,3,1,0,1,West Pars,10000000000
1037,95,2,1,1,1,Abazar,6700000000
1038,82,2,1,1,1,Persian Gulf Martyrs Lake,2350000000
1039,112,3,1,1,1,Shahran,5600000000
1040,96,2,1,1,1,Northern Janatabad,3900000000
1041,86,3,1,1,1,Parand,425000000
1042,105,2,1,1,1,Pardis,940000000
1043,115,2,1,1,1,Ostad Moein,3280000000
1044,87,2,1,1,1,Shahr-e-Ziba,3000000000
1045,165,3,1,1,1,Farmanieh,11500000000
1046,135,3,1,1,1,Marzdaran,7425000000
1047,110,2,1,1,1,Feiz Garden,3670000000
1048,80,2,1,1,1,Southern Janatabad,3500000000
1049,66,2,1,1,1,Southern Janatabad,1800000000
1050,88,2,1,1,1,Qazvin Imamzadeh Hassan,1550000000
1051,70,1,1,1,0,Shahrake Qods,870000000
1052,130,3,1,1,1,Feiz Garden,5600000000
1053,87,2,1,1,1,North Program Organization,3000000000
1054,86,2,1,1,1,Southern Janatabad,4500000000
1055,62,1,1,1,1,Southern Program Organization,2400000000
1057,87,2,1,1,1,Pardis,725000000
1058,70,2,1,1,1,Southern Janatabad,2000000000
1059,65,2,1,1,1,Southern Janatabad,2700000000
1060,64,2,1,1,1,Southern Janatabad,2100000000
1061,62,2,1,1,1,Southern Janatabad,2200000000
1063,140,3,1,1,1,Gheitarieh,8000000000
1064,125,3,1,1,1,Gheitarieh,7100000000
1065,68,2,1,1,1,Southern Janatabad,2100000000
1066,67,2,1,0,0,West Ferdows Boulevard,2200000000
1067,64,2,1,1,1,Southern Janatabad,2050000000
1069,95,2,1,1,0,Northern Janatabad,3900000000
1070,97,2,1,1,1,Pardis,770000000
1071,136,3,1,1,1,Persian Gulf Martyrs Lake,4300000000
1072,70,1,1,1,1,West Ferdows Boulevard,2400000000
1073,85,2,1,1,1,Qazvin Imamzadeh Hassan,1507000000
1074,105,2,1,1,1,Pardis,950000000
1075,50,1,1,0,1,North Program Organization,1900000000
1076,57,1,1,1,1,Southern Program Organization,2750000000
1078,95,2,1,1,1,West Ferdows Boulevard,3300000000
1079,65,2,1,1,1,West Ferdows Boulevard,2380000000
1080,100,2,0,1,0,Tehransar,2000000000
1081,128,3,1,1,1,Kook,3950000000
1082,93,2,1,1,1,Gheitarieh,6000000000
1083,75,2,1,1,1,Qazvin Imamzadeh Hassan,1275000000
1084,133,4,1,1,0,Jeyhoon,4700000000
1085,100,2,1,1,1,Northern Janatabad,4450000000
1086,140,3,1,1,1,Persian Gulf Martyrs Lake,4800000000
1087,92,2,1,1,1,Central Janatabad,3570000000
1088,120,2,1,1,0,Amirabad,4500000000
1089,45,1,1,1,0,Jeyhoon,1030000000
1090,130,2,1,1,0,Gheitarieh,6890000000
1091,95,2,0,1,1,Nawab,2185000000
1092,150,3,0,0,0,Gheitarieh,10500000000
1093,72,2,1,1,1,Qazvin Imamzadeh Hassan,1206000000
1094,60,1,1,1,1,Central Janatabad,3350000000
1095,190,3,1,1,1,Dorous,12000000000
1096,125,2,1,1,1,Shahrake Gharb,9750000000
1097,90,2,1,1,1,North Program Organization,3420000000
1098,105,2,1,1,1,Shahr-e-Ziba,4100000000
1099,90,2,1,1,1,Shahran,2850000000
1100,102,2,1,1,1,Southern Janatabad,5600000000
1101,50,1,1,1,1,Ostad Moein,1500000000
1102,66,2,1,1,0,Punak,2250000000
1103,125,3,1,1,1,Yousef Abad,8750000000
1104,132,3,1,1,1,Parand,2050000000
1105,103,2,1,1,1,Central Janatabad,4300000000
1107,130,2,1,1,1,Shahran,4180000000
1110,160,3,1,1,1,Amirabad,8320000000
1111,110,2,1,1,1,Shahran,3410000000
1112,75,2,1,1,1,Shahran,1980000000
1113,75,2,1,1,1,Shahran,2400000000
1114,85,2,1,1,1,Northern Suhrawardi,4500000000
1116,130,3,1,1,1,Saadat Abad,8500000000
1117,73,2,1,1,1,Qazvin Imamzadeh Hassan,1679000000
1118,95,2,1,1,1,Saadat Abad,5500000000
1120,65,2,1,1,1,Salsabil,1750000000
1121,64,2,1,1,1,Azarbaijan,2090000000
1122,94,2,1,1,1,Villa,4130000000
1123,110,2,1,1,1,Pardis,375000000
1124,105,2,1,1,1,Pardis,550000000
1125,145,3,1,1,1,Heravi,9000000000
1126,105,2,1,1,1,Pardis,875000000
1127,120,2,1,1,1,Farmanieh,12000000000
1128,100,2,1,1,1,Hakimiyeh,3100000000
1129,115,2,1,1,1,Water Organization,3800000000
1130,100,2,0,1,1,Shahr-e-Ziba,3300000000
1131,63,1,1,1,1,Ostad Moein,1280000000
1132,55,1,0,0,0,West Ferdows Boulevard,1900000000
1134,123,3,1,1,1,Nezamabad,3300000000
1135,81,2,1,1,1,Qazvin Imamzadeh Hassan,1420000000
1136,130,3,1,1,1,Jeyhoon,2800000000
1137,108,2,1,1,1,Pasdaran,7700000000
1138,135,3,1,1,1,Qasr-od-Dasht,2950000000
1139,82,2,1,1,1,West Ferdows Boulevard,3500000000
1140,120,2,1,1,1,Southern Program Organization,4250000000
1143,50,1,1,1,1,Shahran,1850000000
1144,80,2,1,1,1,Shahran,3550000000
1145,100,2,1,1,1,Pardis,1100000000
1146,85,2,1,1,1,Shahran,2380000000
1147,44,1,1,1,0,Shahran,1390000000
1148,115,2,1,1,1,Tajrish,8200000000
1149,75,2,1,1,1,North Program Organization,2930000000
1150,65,1,1,1,1,Shahran,2220000000
1152,106,2,1,1,1,Yousef Abad,5700000000
1154,92,2,1,1,1,Shahr-e-Ziba,2700000000
1155,62,1,1,1,1,Southern Program Organization,2170000000
1156,92,2,1,1,1,Pasdaran,6700000000
1158,85,2,1,1,1,Central Janatabad,3150000000
1159,60,1,1,1,1,Saadat Abad,3300000000
1160,100,2,1,1,1,East Ferdows Boulevard,3400000000
1161,100,2,1,1,1,Northern Janatabad,5100000000
1162,121,2,1,1,1,Garden of Saba,7500000000
1163,63,1,1,1,1,Farmanieh,5600000000
1164,98,2,1,1,1,West Ferdows Boulevard,4400000000
1165,67,2,1,1,1,Pasdaran,3500000000
1166,87,2,1,1,1,West Ferdows Boulevard,2830000000
1167,115,3,1,1,1,Pasdaran,5300000000
1168,49,1,0,0,1,Punak,2300000000
1169,40,0,0,1,0,Ostad Moein,650000000
1170,130,3,1,1,1,Yousef Abad,8000000000
1171,144,3,1,1,0,Pasdaran,8000000000
1173,53,1,1,1,1,Southern Janatabad,2430000000
1174,88,2,1,1,1,Central Janatabad,3400000000
1175,105,2,1,1,1,Southern Janatabad,3900000000
1176,90,2,1,1,1,Qalandari,6560000000
1178,75,2,1,1,1,Tarasht,2150000000
1181,95,2,1,1,1,Feiz Garden,3600000000
1182,54,1,1,1,0,Andisheh,500000000
1183,98,2,1,1,1,Shahr-e-Ziba,3220000000
1184,90,2,1,1,1,Feiz Garden,3600000000
1185,97,2,1,1,1,Feiz Garden,3800000000
1186,71,2,1,1,1,East Ferdows Boulevard,2530000000
1187,150,3,1,1,1,Shahrake Gharb,12000000000
1188,116,3,1,1,1,Pasdaran,8100000000
1189,120,2,1,1,1,Saadat Abad,8600000000
1190,79,2,1,1,1,West Ferdows Boulevard,2400000000
1191,79,2,1,1,1,West Ferdows Boulevard,3100000000
1192,135,2,1,1,1,Dorous,10000000000
1193,110,2,1,1,1,West Ferdows Boulevard,3950000000
1195,110,3,1,1,1,Shahr-e-Ziba,4700000000
1196,87,2,1,1,1,West Ferdows Boulevard,3800000000
1197,75,2,1,1,1,Punak,3750000000
1198,108,2,1,1,1,West Ferdows Boulevard,3950000000
1199,110,2,1,1,1,Central Janatabad,5700000000
1200,100,2,1,1,1,Shahr-e-Ziba,5100000000
1202,140,3,1,1,1,Shahrake Gharb,9200000000
1203,72,2,1,1,0,Southern Janatabad,2113000000
1204,73,2,1,1,0,Southern Janatabad,2108000000
1205,145,3,1,1,1,Dezashib,12325000000
1206,75,2,1,1,0,Northern Janatabad,2385000000
1207,92,2,1,1,1,Yousef Abad,6300000000
1208,80,2,1,1,1,Si Metri Ji,2220000000
1209,127,2,1,1,1,Ekhtiarieh,8890000000
1211,74,2,1,1,1,Yousef Abad,3920000000
1212,105,3,1,1,1,Parand,1260000000
1213,112,3,1,1,0,Parand,1400000000
1214,120,2,1,1,1,Shahrake Gharb,7500000000
1215,123,3,1,1,1,Pardis,500000000
1216,140,3,1,1,1,Shahrake Gharb,10000000000
1217,63,1,1,1,1,Punak,3500000000
1218,56,1,1,1,1,Punak,1950000000
1219,105,2,1,1,1,Feiz Garden,4350000000
1220,97,2,1,1,1,Yousef Abad,5000000000
1221,140,3,1,1,1,Jordan,9200000000
1222,60,2,1,1,0,Central Janatabad,1650000000
1224,54,1,0,1,1,Punak,2000000000
1225,90,2,1,1,1,Ekhtiarieh,6000000000
1226,92,2,1,1,1,Feiz Garden,3950000000
1227,65,2,0,1,0,Feiz Garden,1900000000
1228,76,2,1,1,1,Andisheh,896000000
1229,72,2,1,1,1,Southern Janatabad,2600000000
1230,135,3,1,1,1,Farmanieh,11500000000
1232,87,2,1,1,1,Pardis,500000000
1234,100,2,1,1,0,Yousef Abad,4300000000
1238,98,2,1,1,1,Gheitarieh,6958000000
1239,133,3,0,0,0,Andisheh,1600000000
1240,108,2,1,1,1,West Ferdows Boulevard,5616000000
1241,76,2,1,1,1,Shahr-e-Ziba,2800000000
1242,73,2,1,1,1,Razi,1230000000
1243,76,2,1,1,1,Southern Program Organization,3150000000
1244,80,2,1,1,1,Southern Program Organization,3680000000
1245,92,2,1,1,1,Gheitarieh,6600000000
1246,130,2,1,1,1,Qalandari,8500000000
1247,71,2,1,1,1,Azari,1640000000
1248,56,1,1,1,1,Shahran,1900000000
1249,105,2,1,1,1,Pardis,890000000
1251,93,2,1,1,1,Central Janatabad,4370000000
1252,179,3,1,1,1,Pasdaran,9645000000
1253,100,2,1,1,1,Gholhak,6200000000
1254,110,3,1,1,1,Saadat Abad,5200000000
1255,98,2,1,1,1,Northern Janatabad,4850000000
1256,101,2,1,1,1,Saadat Abad,5550000000
1257,105,2,1,1,1,Pardis,800000000
1258,157,3,1,1,1,Heravi,9850000000
1260,90,2,1,1,1,Qazvin Imamzadeh Hassan,1620000000
1261,97,2,1,1,1,Pardis,760000000
1262,120,3,1,1,1,Persian Gulf Martyrs Lake,1272000000
1264,60,1,1,1,1,Yousef Abad,3250000000
1266,100,2,1,1,1,Pardis,790000000
1267,185,3,1,1,1,Pasdaran,10750000000
1268,62,2,1,1,1,Central Janatabad,3500000000
1269,79,2,1,1,1,Central Janatabad,2999000000
1271,200,3,1,1,1,Southern Chitgar,5000000000
1272,105,2,1,1,1,Pardis,860000000
1273,128,3,1,1,1,Shahrake Apadana,5700000000
1274,115,3,1,1,1,Punak,6670000000
1276,77,2,1,1,0,Central Janatabad,2400000000
1277,190,3,1,1,1,Punak,11400000000
1280,130,3,1,1,1,Yousef Abad,7800000000
1281,133,3,1,1,1,Dorous,8600000000
1282,143,3,1,1,1,Northern Janatabad,4400000000
1283,76,2,1,1,1,Central Janatabad,4150000000
1284,155,3,1,1,1,West Ferdows Boulevard,5000000000
1286,96,2,1,1,1,Ekbatan,4200000000
1288,147,3,1,1,1,Heravi,9100000000
1289,85,2,1,1,1,East Ferdows Boulevard,2800000000
1290,76,2,1,1,1,Ekbatan,3600000000
1291,103,2,1,1,1,Niavaran,7000000000
1293,95,2,1,1,1,Saadat Abad,6200000000
1294,79,2,0,1,0,Northern Janatabad,3200000000
1295,83,2,1,1,1,Parand,705500000
1296,70,2,1,1,1,Southern Program Organization,2500000000
1297,87,2,1,1,1,Niavaran,4600000000
1298,87,2,0,1,1,Pardis,500000000
1299,84,3,1,1,1,Andisheh,1554000000
1300,91,2,1,1,1,Tarasht,3100000000
1301,145,2,1,1,1,Gheitarieh,12000000000
1302,68,2,1,1,1,North Program Organization,2450000000
1303,127,3,1,1,1,Garden of Saba,5588000000
1304,68,1,1,1,1,Ekbatan,3100000000
1305,105,2,1,1,1,Pardis,539000000
1306,89,2,1,1,1,Shahran,3190000000
1307,82,2,1,1,1,Ostad Moein,2600000000
1308,65,1,1,1,0,Punak,2250000000
1309,80,2,1,1,1,Gholhak,4900000000
1313,160,3,1,1,1,Kamranieh,13120000000
1315,106,2,1,1,1,Pardis,800000000
1316,75,2,0,1,1,Shahrake Qods,620000000
1317,100,2,1,1,1,Shahrake Qods,800000000
1318,58,1,1,1,1,Ekbatan,2850000000
1320,44,1,0,1,0,Pirouzi,790000000
1321,108,2,1,1,1,Gheitarieh,9000000000
1322,87,2,1,1,1,Amirabad,550000000
1324,120,3,1,1,1,Persian Gulf Martyrs Lake,1750000000
1325,103,2,1,1,1,Saadat Abad,5700000000
1326,78,2,0,0,0,Parand,455000000
1327,85,2,1,1,1,Gheitarieh,7200000000
1329,142,3,1,1,1,Amirabad,5500000000
1330,90,2,1,1,1,Persian Gulf Martyrs Lake,1315000000
1331,85,2,1,1,1,Gheitarieh,7300000000
1334,87,2,1,1,1,Pardis,890000000
1335,85,2,1,1,1,Southern Janatabad,4400000000
1336,92,2,1,1,1,Southern Janatabad,3990000000
1337,90,2,1,1,1,Shahr-e-Ziba,4150000000
